CONGLOME,VIVIENDA,HOGAR,UBIGEO,POBREZA,POBREZAV,GASHOG2D,FACTOR07,recibe_pension65,tamano_hogar,n_65mas,tiene_65mas,NBI1,NBI2,NBI3,NBI4,NBI5,pct_miembros_con_seguro,algun_miembro_sin_seguro,gasto_salud_hogar
015080,037,11,010101,3,3,23251.158203125,78.585823059082,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,413.0
015080,038,11,010101,3,4,58404.41015625,78.585823059082,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,19196.0
015080,039,11,010101,3,4,17960.869140625,78.585823059082,0.0,2,0,False,0.0,0.0,1.0,0.0,0.0,1.0,False,489.0
015080,040,11,010101,3,3,37098.15234375,78.585823059082,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,1993.0
015080,086,11,010101,3,3,6504.8564453125,78.585823059082,1.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,663.0
015080,093,11,010101,3,4,18285.318359375,78.585823059082,0.0,2,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,909.0
015080,096,11,010101,3,3,16059.017578125,78.585823059082,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0
015080,097,11,010101,3,4,32023.681640625,78.585823059082,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,158.0
015082,051,11,010521,3,3,5313.79541015625,78.585823059082,0.0,2,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,0.0
015082,052,11,010521,3,4,25323.7265625,78.585823059082,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,1442.0
015082,053,11,010521,2,2,34032.69921875,78.585823059082,0.0,9,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,375.0
015082,054,11,010521,2,2,2963.23876953125,78.585823059082,0.0,1,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,124.0
015082,055,11,010521,3,3,33499.92578125,78.585823059082,0.0,7,0,False,1.0,1.0,0.0,0.0,0.0,1.0,False,404.0
015082,056,11,010521,3,3,8296.49609375,78.585823059082,0.0,2,0,False,1.0,0.0,0.0,0.0,0.0,0.5,True,298.0
015082,057,11,010521,1,1,9051.5234375,78.585823059082,0.0,4,0,False,0.0,1.0,0.0,0.0,0.0,0.75,True,134.0
015082,058,11,010521,3,4,10200.419921875,78.585823059082,1.0,2,1,True,1.0,0.0,0.0,0.0,0.0,1.0,False,2350.0
015084,005,11,010504,3,4,8741.0009765625,78.585823059082,0.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0
015084,006,11,010504,3,3,6072.8984375,78.585823059082,0.0,1,0,False,0.0,0.0,1.0,0.0,0.0,1.0,False,492.0
015084,007,11,010504,3,3,12240.953125,78.585823059082,0.0,2,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,1452.0
015084,008,11,010504,3,3,34629.36328125,78.585823059082,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,4951.0
015084,101,11,010504,2,2,9469.1865234375,78.585823059082,0.0,3,1,True,1.0,0.0,0.0,0.0,0.0,1.0,False,0.0
015084,103,11,010504,3,3,25416.916015625,78.585823059082,0.0,5,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,695.0
015084,104,11,010504,3,3,8154.40869140625,78.585823059082,1.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,73.0
015084,106,11,010504,3,3,36194.05859375,78.585823059082,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,163.0
015095,004,11,010501,3,4,9623.748046875,78.585823059082,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,1955.0
015095,014,11,010501,3,4,37476.79296875,78.585823059082,0.0,4,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,2603.0
015095,028,11,010501,3,3,43126.14453125,78.585823059082,0.0,7,1,True,0.0,0.0,1.0,0.0,0.0,1.0,False,4219.0
015095,052,11,010501,3,4,93934.5859375,78.585823059082,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,19317.0
015095,064,11,010501,3,4,72129.28125,78.585823059082,0.0,4,2,True,0.0,0.0,1.0,0.0,0.0,1.0,False,1938.0
015095,077,11,010501,3,4,63203.02734375,78.585823059082,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,0.75,True,3978.138671875
015095,101,11,010501,3,4,34882.90625,78.585823059082,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,1945.0
015095,113,11,010501,3,3,16294.615234375,78.585823059082,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,760.0
015103,009,11,010109,3,3,23555.11328125,78.585823059082,0.0,3,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,202.0
015103,010,11,010109,3,3,21197.154296875,78.585823059082,0.0,3,0,False,1.0,0.0,1.0,0.0,0.0,1.0,False,445.0
015103,012,11,010109,3,3,36021.2109375,78.585823059082,0.0,9,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,1019.0
015103,019,11,010109,3,4,19404.05078125,78.585823059082,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,306.0
015103,020,11,010109,3,3,17452.708984375,78.585823059082,0.0,6,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,603.0
015103,022,11,010109,3,3,33823.03515625,78.585823059082,0.0,6,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,258.0
015139,081,11,010401,3,3,10785.4296875,65.2061309814453,1.0,3,2,True,1.0,0.0,0.0,0.0,0.0,1.0,False,1214.0
015139,082,11,010401,3,3,8209.4140625,65.2061309814453,1.0,1,1,True,1.0,0.0,0.0,0.0,0.0,1.0,False,26.0
015139,083,11,010401,2,2,11204.1533203125,65.2061309814453,0.0,4,0,False,1.0,1.0,0.0,0.0,0.0,1.0,False,0.0
015139,084,11,010401,1,1,16085.0576171875,65.2061309814453,0.0,7,0,False,1.0,1.0,0.0,0.0,0.0,1.0,False,775.0
015139,286,11,010401,2,2,7610.36474609375,65.2061309814453,0.0,3,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,548.0
015139,287,11,010401,3,3,17385.541015625,65.2061309814453,0.0,3,0,False,1.0,0.0,1.0,0.0,0.0,1.0,False,256.0
015139,288,11,010401,1,1,5081.27294921875,65.2061309814453,0.0,6,0,False,1.0,1.0,0.0,0.0,0.0,0.0,True,0.0
015139,289,11,010401,2,2,11464.1787109375,65.2061309814453,0.0,4,0,False,1.0,0.0,0.0,0.0,0.0,0.5,True,0.0
015152,009,11,010512,3,3,20875.154296875,65.2061309814453,0.0,3,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,1494.0
015152,012,11,010512,2,2,11713.583984375,65.2061309814453,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,355.0
015152,015,11,010512,3,3,5679.2265625,65.2061309814453,0.0,6,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,146.0
